electionrecordid,raceorder,votes,reported,race,candidate,party,town,precinct,r_d,r_g,r_r,r_u,pct_d,pct_r,pct_u
,10,0,0,U.S. President,Gary Jonson,L,Tremont,,64,19,115,118,0.2,0.36,0.37
,10,0,0,U.S. President,Gary Jonson,L,Trenton,,290,55,359,419,0.26,0.32,0.37
,10,0,0,U.S. President,Gary Jonson,L,Verona Island,,136,14,141,134,0.32,0.33,0.32
,10,0,0,U.S. President,Gary Jonson,L,Waltham,,45,7,139,71,0.17,0.53,0.27
,10,0,0,U.S. President,Gary Jonson,L,Winter Harbor,,96,14,171,149,0.22,0.4,0.35
,11,0,0,US House District 2,Emily Ann Cain,D,Amherst,,52,9,73,66,0.26,0.37,0.33
,11,0,0,US House District 2,Emily Ann Cain,D,Aurora,,15,2,38,22,0.19,0.49,0.29
,11,0,0,US House District 2,Emily Ann Cain,D,Bar Harbor,,1654,172,859,1420,0.4,0.21,0.35
,11,0,0,US House District 2,Emily Ann Cain,D,Blue Hill,,902,81,624,676,0.4,0.27,0.3
,11,0,0,US House District 2,Emily Ann Cain,D,Brooklin,,257,45,191,248,0.35,0.26,0.33
,11,0,0,US House District 2,Emily Ann Cain,D,Brooksville,,291,45,220,241,0.37,0.28,0.3
,11,0,0,US House District 2,Emily Ann Cain,D,Bucksport,,1047,71,1103,1531,0.28,0.29,0.41
,11,0,0,US House District 2,Emily Ann Cain,D,Castine,,307,48,316,375,0.29,0.3,0.36
,11,0,0,US House District 2,Emily Ann Cain,D,Cranberry Isles,,70,5,42,77,0.36,0.22,0.4
,11,0,0,US House District 2,Emily Ann Cain,D,Dedham,,324,41,450,506,0.25,0.34,0.38
,11,0,0,US House District 2,Emily Ann Cain,D,Deer Isle,,574,62,416,644,0.34,0.25,0.38
,11,0,0,US House District 2,Emily Ann Cain,D,Eastbrook,,73,10,124,112,0.23,0.39,0.35
,11,0,0,US House District 2,Emily Ann Cain,D,Ellsworth,,1377,196,2075,1840,0.25,0.38,0.34
,11,0,0,US House District 2,Emily Ann Cain,D,Franklin,,249,49,375,340,0.25,0.37,0.34
,11,0,0,US House District 2,Emily Ann Cain,D,Fletchers Landing,,,,,,,,
,11,0,0,US House District 2,Emily Ann Cain,D,Frenchboro,,12,4,9,17,0.29,0.21,0.4
,11,0,0,US House District 2,Emily Ann Cain,D,Gouldsboro,,369,81,515,541,0.25,0.34,0.36
,11,0,0,US House District 2,Emily Ann Cain,D,Great Pond,,9,0,16,14,0.23,0.41,0.36
,11,0,0,US House District 2,Emily Ann Cain,D,Hancock,,407,62,676,582,0.24,0.39,0.34
,11,0,0,US House District 2,Emily Ann Cain,D,Lamoine,,374,63,535,458,0.26,0.37,0.32
,11,0,0,US House District 2,Emily Ann Cain,D,Mariaville,,76,18,113,148,0.21,0.32,0.42
,11,0,0,US House District 2,Emily Ann Cain,D,Mount Desert,,637,66,494,615,0.35,0.27,0.34
,11,0,0,US House District 2,Emily Ann Cain,D,Orland,,446,72,415,648,0.28,0.26,0.41
,11,0,0,US House District 2,Emily Ann Cain,D,Osborn,,9,1,33,8,0.18,0.65,0.16
,11,0,0,US House District 2,Emily Ann Cain,D,Otis,,131,29,218,193,0.23,0.38,0.34
,11,0,0,US House District 2,Emily Ann Cain,D,Penobscot,,286,52,297,367,0.29,0.3,0.37
,11,0,0,US House District 2,Emily Ann Cain,D,Sedgwick,,342,57,238,336,0.35,0.24,0.35
,11,0,0,US House District 2,Emily Ann Cain,D,Sorrento,,86,8,94,77,0.32,0.35,0.29
,11,0,0,US House District 2,Emily Ann Cain,D,Southwest Harbor,,468,69,383,590,0.31,0.25,0.39
,11,0,0,US House District 2,Emily Ann Cain,D,Stonington,,285,37,169,410,0.32,0.19,0.46
,11,0,0,US House District 2,Emily Ann Cain,D,Sullivan,,208,56,258,349,0.24,0.3,0.4
,11,0,0,US House District 2,Emily Ann Cain,D,Surry,,378,64,433,368,0.3,0.35,0.3
,11,0,0,US House District 2,Emily Ann Cain,D,Swans Island,,64,19,115,118,0.2,0.36,0.37
,11,0,0,US House District 2,Emily Ann Cain,D,Tremont,,64,19,115,118,0.2,0.36,0.37
,11,0,0,US House District 2,Emily Ann Cain,D,Trenton,,290,55,359,419,0.26,0.32,0.37
,11,0,0,US House District 2,Emily Ann Cain,D,Verona Island,,136,14,141,134,0.32,0.33,0.32
